"No.","Time","Source","Destination","Protocol","Length","Info","frame number","frame length","Frame Time","Frame Time (Epoch)","Frame Protocols","Ethernet Source","Ethernet Destination","Ethernet Type","IP Source","IP Destination","IP Length","IP TTL","IP Flags","IP Fragment Offset","IP Protocol","IP Version","IP DSCP Field","IP Checksum","TCP Source Port","TCP Destination Port","TCP Length","TCP Sequence Number","TCP Acknowledgment Number","TCP Flags","TCP SYN Flag","TCP ACK Flag","TCP FIN Flag","TCP RST Flag","TCP Window Size","TCP Checksum","TCP Stream","UDP Source Port","UDP Destination Port","UDP Length","UDP Checksum","ICMP Type","ICMP Checksum","HTTP Request Method","HTTP Request URI","HTTP Request Version","HTTP Full URI","HTTP Response Code","HTTP User-Agent","HTTP Content-Length","HTTP Content Type","HTTP Cookie","HTTP Host","HTTP Referer","HTTP Location","HTTP Authorization","HTTP Connection","DNS Query Name","DNS Query Type"
"1","0.000000000","192.168.1.108","92.242.129.221","TCP","74","51780  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=732848982 TSecr=0 WS=128","1","74","Jan 11, 2024 19:29:25.852052461 +03","1704990565.852052461","eth:ethertype:ip:tcp","08:00:27:37:96:63","08:00:27:a6:7e:fb","IPv4","192.168.1.108","92.242.129.221","60","64","0x40","0","TCP","4","0x00","0xc746","51780","80","0","0","0","0x002","Set","Not set","Not set","Not set","64240","0x8a04","0","","","","","","","","","","","","","","","","","","","","","",""
"2","0.010462461","192.168.1.108","92.242.129.221","TCP","74","51792  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=732848997 TSecr=0 WS=128","2","74","Jan 11, 2024 19:29:25.862514922 +03","1704990565.862514922","eth:ethertype:ip:tcp","08:00:27:37:96:63","08:00:27:a6:7e:fb","IPv4","192.168.1.108","92.242.129.221","60","64","0x40","0","TCP","4","0x00","0x8835","51792","80","0","0","0","0x002","Set","Not set","Not set","Not set","64240","0xe5ac","1","","","","","","","","","","","","","","","","","","","","","",""
"3","5.031543686","PcsCompu_37:96:63","PcsCompu_a6:7e:fb","ARP","60","Who has 192.168.1.1? Tell 192.168.1.108","3","60","Jan 11, 2024 19:29:30.883596147 +03","1704990570.883596147","eth:ethertype:arp","08:00:27:37:96:63","08:00:27:a6:7e:fb","ARP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4","5.032801560","PcsCompu_a6:7e:fb","PcsCompu_37:96:63","ARP","60","192.168.1.1 is at 08:00:27:a6:7e:fb","4","60","Jan 11, 2024 19:29:30.884854021 +03","1704990570.884854021","eth:ethertype:arp","08:00:27:a6:7e:fb","08:00:27:37:96:63","ARP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5","5.184670467","192.168.1.108","192.168.1.104","TCP","74","58454  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=539917270 TSecr=0 WS=128","5","74","Jan 11, 2024 19:29:31.036722928 +03","1704990571.036722928","eth:ethertype:ip:tcp","08:00:27:37:96:63","08:00:27:5d:ef:d9","IPv4","192.168.1.108","192.168.1.104","60","64","0x40","0","TCP","4","0x00","0xf3a4","58454","80","0","0","0","0x002","Set","Not set","Not set","Not set","64240","0x2029","2","","","","","","","","","","","","","","","","","","","","","",""
"6","5.185080896","192.168.1.104","192.168.1.108","TCP","74","80  >  58454 [SYN, ACK] Seq=0 Ack=1 Win=5792 Len=0 MSS=1460 SACK_PERM=1 TSval=119984 TSecr=539917270 WS=64","6","74","Jan 11, 2024 19:29:31.037133357 +03","1704990571.037133357","eth:ethertype:ip:tcp","08:00:27:5d:ef:d9","08:00:27:37:96:63","IPv4","192.168.1.104","192.168.1.108","60","64","0x40","0","TCP","4","0x00","0xb697","80","58454","0","0","1","0x012","Set","Set","Not set","Not set","5792","0x56f8","2","","","","","","","","","","","","","","","","","","","","","",""
"7","5.185081035","192.168.1.108","192.168.1.104","TCP","66","58454  >  80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=539917270 TSecr=119984","7","66","Jan 11, 2024 19:29:31.037133496 +03","1704990571.037133496","eth:ethertype:ip:tcp","08:00:27:37:96:63","08:00:27:5d:ef:d9","IPv4","192.168.1.108","192.168.1.104","52","64","0x40","0","TCP","4","0x00","0xf3ab","58454","80","0","1","1","0x010","Not set","Set","Not set","Not set","64256","0x9a6d","2","","","","","","","","","","","","","","","","","","","","","",""
"8","5.185419620","192.168.1.108","192.168.1.104","HTTP","480","GET /mutillidae/index.php?page=dns-lookup.php HTTP/1.1 ","8","480","Jan 11, 2024 19:29:31.037472081 +03","1704990571.037472081","eth:ethertype:ip:tcp:http","08:00:27:37:96:63","08:00:27:5d:ef:d9","IPv4","192.168.1.108","192.168.1.104","466","64","0x40","0","TCP","4","0x00","0xf20c","58454","80","414","1","1","0x018","Not set","Set","Not set","Not set","64256","0x10db","2","","","","","","","GET","/mutillidae/index.php?page=dns-lookup.php","HTTP/1.1","http://192.168.1.104/mutillidae/index.php?page=dns-lookup.php","","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36 OPR/43.0.2442.991","","","","192.168.1.104","","","","close","",""
"9","5.185837108","192.168.1.104","192.168.1.108","TCP","66","80  >  58454 [ACK] Seq=1 Ack=415 Win=6912 Len=0 TSval=119984 TSecr=539917271","9","66","Jan 11, 2024 19:29:31.037889569 +03","1704990571.037889569","eth:ethertype:ip:tcp","08:00:27:5d:ef:d9","08:00:27:37:96:63","IPv4","192.168.1.104","192.168.1.108","52","64","0x40","0","TCP","4","0x00","0xa7ef","80","58454","0","1","415","0x010","Not set","Set","Not set","Not set","6912","0x9a58","2","","","","","","","","","","","","","","","","","","","","","",""
"10","5.307037135","192.168.1.104","192.168.1.108","TCP","4410","80  >  58454 [ACK] Seq=1 Ack=415 Win=6912 Len=4344 TSval=120014 TSecr=539917271 [TCP segment of a reassembled PDU]","10","4410","Jan 11, 2024 19:29:31.159089596 +03","1704990571.159089596","eth:ethertype:ip:tcp","08:00:27:5d:ef:d9","08:00:27:37:96:63","IPv4","192.168.1.104","192.168.1.108","4396","64","0x40","0","TCP","4","0x00","0x96f6","80","58454","4344","1","415","0x010","Not set","Set","Not set","Not set","6912","0x9543","2","","","","","","","","","","","","","","","","","","","","","",""
