timestamp,url_length,path_length,query_length,param_count,header_count,payload_length,url_entropy,payload_entropy,alpha_ratio,digit_ratio,special_char_ratio,suspicious_chars_count,sql_keyword_count,xss_pattern_count,command_injection_count,path_traversal_count,is_malicious
1690374000,50,10,15,3,5,200,3.5,4.1,0.6,0.2,0.1,1,1,0,0,0,1
1690374600,60,12,10,2,4,150,3.7,4.0,0.5,0.3,0.1,0,0,0,0,0,0
1690375200,55,14,12,4,6,210,3.9,4.3,0.7,0.2,0.1,0,1,0,0,0,1
1690375800,62,11,14,3,5,180,3.6,4.2,0.6,0.4,0.1,1,0,0,0,0,0
1690376400,47,13,11,2,4,160,3.8,4.0,0.5,0.3,0.2,0,0,0,0,0,0
1690377000,53,15,13,4,6,190,3.7,4.1,0.7,0.2,0.1,1,1,0,0,0,1
1690377600,59,10,16,3,5,170,3.5,4.3,0.6,0.3,0.2,1,0,0,0,0,0
1690378200,61,12,10,2,4,165,3.8,4.2,0.5,0.3,0.1,0,0,0,0,0,0
1690378800,58,13,12,4,5,175,3.9,4.1,0.6,0.2,0.2,1,1,0,0,0,1
1690379400,56,14,13,3,5,185,3.6,4.0,0.5,0.3,0.1,0,0,0,0,0,0
1753548281.6370373,40,32,1,2,4,458,3,1,0,2,3.19240581630896,5.797146683580561,0.58,0.14,0.13,2,1
1753548281.6388812,26,9,9,2,3,23,0,0,0,0,3.8742206098873453,3.9112163634754458,0.74,0.2,0.17,0,0
1753548281.6388812,85,50,22,3,6,17,0,0,0,0,3.5549575749531854,4.647492253886445,0.78,0.18,0.1,0,0
1753548281.6388812,72,37,46,0,10,111,5,3,1,0,5.390454217704498,5.26692241694181,0.8,0.33,0.11,3,1
1753548281.6388812,87,15,47,4,9,78,0,0,0,0,5.220693212840404,3.317428508981535,0.71,0.21,0.18,0,0
1753548281.6410491,79,34,2,3,6,85,0,0,0,0,4.0986378230950695,4.690173640959711,0.35,0.26,0.18,0,0
1753548281.6410491,48,38,35,4,5,400,3,4,3,1,5.46521900062644,3.268595408992901,0.48,0.17,0.1,2,1
1753548281.6410491,62,27,34,3,3,67,0,0,0,0,5.877317274363284,5.630105504991859,0.65,0.18,0.08,0,0
1753548281.6410491,31,34,40,0,6,65,0,0,0,0,3.447950398976918,3.3573680981250504,0.33,0.17,0.18,0,0
1753548281.6451294,98,18,12,2,8,62,4,4,2,1,5.518626280190018,4.629232085747588,0.77,0.34,0.16,4,1
1753548281.6451294,25,31,6,4,9,91,0,0,0,0,3.2254747856093062,3.7444941323958663,0.65,0.38,0.15,0,0
1753548281.6451294,81,18,48,5,5,2,0,0,0,0,4.74253606140523,5.636789952738884,0.35,0.26,0.18,0,0
1753548281.6451294,64,5,7,5,6,5,3,3,2,2,4.870129256398815,5.574495236760804,0.78,0.32,0.11,3,1
